word vector file:		GiTuCo.filt.uniq.stemB.format_S_Rcuspod.samp44p_w5_v200_mc10_i5_cbow.w2v.vec
corpus file:			GiTuCo.filt.uniq.stemB.sample
input file:				_arg_verb_list_50x100
minimum sample size:	30
minimum context size:	15
window size:			20
filters:				cuspod
is keyword included?	true
PCA variance threshold:	0.45
number of threads:		8

arg	verb	sample size	argComp	verbComp	phraseAvgComp	phrasePCAcomp
sevgili:1	arE:v	null	null	null	null	null
yer:v	arE:v	1	null	null	null	null
telefon:1	arE:v	null	null	null	null	null
müdür:1	arE:v	null	null	null	null	null
mantıK:0	arE:v	null	null	null	null	null
sahiP:1	arE:v	null	null	null	null	null
uzaK:5	arE:v	null	null	null	null	null
uzlaş:v	arE:v	null	null	null	null	null
adalet:0	arE:v	null	null	null	null	null
tekrar:0	arE:v	null	null	null	null	null
merkez:1	arE:v	null	null	null	null	null
zabıta:1	arE:v	null	null	null	null	null
müdürlüK:1	arE:v	null	null	null	null	null
temsilci:1	arE:v	null	null	null	null	null
alternatif:0	arE:v	null	null	null	null	null
servis:1	arE:v	null	null	null	null	null
davetiye:1	arE:v	null	null	null	null	null
yapılan:v	arE:v	null	null	null	null	null
gôl:0	arE:v	null	null	null	null	null
ceP:3	arE:v	null	null	null	null	null
avukat:1	arE:v	null	null	null	null	null
doktor:1	arE:v	null	null	null	null	null
yakılE:v	arE:v	null	null	null	null	null
çapanoğlu&:0	arE:v	null	null	null	null	null
petrôl:0	arE:v	null	null	null	null	null
huzur:0	arE:v	null	null	null	null	null
arkadaş:0	arE:v	null	null	null	null	null
çare:1	arE:v	null	null	null	null	null
yazı:2	arE:v	null	null	null	null	null
hâk0:1	arE:v	null	null	null	null	null
aile:1	arE:v	null	null	null	null	null
ev:0	arE:v	null	null	null	null	null
yuva:0	arE:v	null	null	null	null	null
partner:0	arE:v	1	null	null	null	null
bilet:v	arE:v	null	null	null	null	null
hangi:0	arE:v	null	null	null	null	null
anlam:0	arE:v	null	null	null	null	null
kusur:0	arE:v	null	null	null	null	null
yetkili:1	arE:v	null	null	null	null	null
bültenlE:v	arE:v	null	null	null	null	null
eleman:0	arE:v	null	null	null	null	null
heyecan:0	arE:v	null	null	null	null	null
uzlaşı:0	arE:v	null	null	null	null	null
suçlu:0	arE:v	null	null	null	null	null
yakın:1	arE:v	null	null	null	null	null
ittifak:0	arE:v	null	null	null	null	null
hazırlıK:2	arE:v	null	null	null	null	null
imza:0	at:v	4	null	null	null	null
gôl:0	at:v	1	null	null	null	null
adım:0	at:v	3	null	null	null	null
mesaj:0	at:v	1	null	null	null	null
çöp:2	at:v	null	null	null	null	null
kahkaha:0	at:v	1	null	null	null	null
taklE:v	at:v	1	null	null	null	null
ciriT:0	at:v	1	null	null	null	null
adım:1	at:v	1	null	null	null	null
bok:0	at:v	1	null	null	null	null
imza:1	at:v	null	null	null	null	null
tehlike:2	at:v	null	null	null	null	null
çamur:0	at:v	null	null	null	null	null
çığlıK:0	at:v	null	null	null	null	null
tekme:0	at:v	null	null	null	null	null
iftira:0	at:v	null	null	null	null	null
gôl:1	at:v	null	null	null	null	null
slogan:0	at:v	null	null	null	null	null
çalım:0	at:v	null	null	null	null	null
mail:0	at:v	null	null	null	null	null
temel:1	at:v	1	null	null	null	null
el:0	at:v	null	null	null	null	null
risk:2	at:v	null	null	null	null	null
yumruK:0	at:v	null	null	null	null	null
fink:0	at:v	null	null	null	null	null
depar:0	at:v	null	null	null	null	null
nara:0	at:v	1	null	null	null	null
havlu:0	at:v	null	null	null	null	null
göz:0	at:v	null	null	null	null	null
sayılıK:0	at:v	null	null	null	null	null
tokat:0	at:v	null	null	null	null	null
takla:0	at:v	null	null	null	null	null
pas:0	at:v	null	null	null	null	null
göbeK:0	at:v	null	null	null	null	null
şut:0	at:v	null	null	null	null	null
kulaÇ:0	at:v	null	null	null	null	null
üçlüK:0	at:v	null	null	null	null	null
yaban:2	at:v	null	null	null	null	null
taÇ:2	at:v	null	null	null	null	null
laf:0	at:v	null	null	null	null	null
çılgın:0	at:v	null	null	null	null	null
format:0	at:v	null	null	null	null	null
volta:0	at:v	null	null	null	null	null
taş:v	at:v	null	null	null	null	null
korner:0	at:v	null	null	null	null	null
kapaK:0	at:v	null	null	null	null	null
tur:0	at:v	null	null	null	null	null
hap$is:2	at:v	null	null	null	null	null
ortay:2	at:v	4	null	null	null	null
taç:0	at:v	null	null	null	null	null
nut$uk:0	at:v	null	null	null	null	null
ateş:2	at:v	null	null	null	null	null
penaltı:0	at:v	null	null	null	null	null
hava:0	at:v	2	null	null	null	null
şaplaK:0	at:v	null	null	null	null	null
kazıK:0	at:v	null	null	null	null	null
dışarı:0	at:v	null	null	null	null	null
kenar:2	at:v	null	null	null	null	null
makas:0	at:v	null	null	null	null	null
pare:5	at:v	null	null	null	null	null
yorgunluK:1	at:v	null	null	null	null	null
kâlP:0	at:v	null	null	null	null	null
stres:0	at:v	null	null	null	null	null
dayaK:0	at:v	null	null	null	null	null
kale:2	at:v	null	null	null	null	null
bomba:0	at:v	null	null	null	null	null
yataK:2	at:v	null	null	null	null	null
dama:0	at:v	null	null	null	null	null
manşet:0	at:v	null	null	null	null	null
cebin:2	at:v	null	null	null	null	null
sök:v	at:v	1	null	null	null	null
cebe:0	at:v	null	null	null	null	null
kafa:0	at:v	null	null	null	null	null
stres:1	at:v	null	null	null	null	null
ben$iz:0	at:v	null	null	null	null	null
kestir:v	at:v	null	null	null	null	null
oy:v	at:v	null	null	null	null	null
sayı:0	at:v	null	null	null	null	null
madiK:0	at:v	null	null	null	null	null
nab$ız:6	at:v	null	null	null	null	null
sepet:2	at:v	null	null	null	null	null
sokaK:2	at:v	null	null	null	null	null
dirseK:0	at:v	null	null	null	null	null
sik:v	at:v	null	null	null	null	null
korner:2	at:v	null	null	null	null	null
güllE:v	at:v	1	null	null	null	null
kalbi:6	at:v	null	null	null	null	null
aut:2	at:v	null	null	null	null	null
om$uz:0	at:v	null	null	null	null	null
ceP:2	at:v	null	null	null	null	null
deniz:2	at:v	null	null	null	null	null
plan:2	at:v	null	null	null	null	null
fark:0	at:v	null	null	null	null	null
çentiK:0	at:v	null	null	null	null	null
çiziK:0	at:v	null	null	null	null	null
çanta:2	at:v	null	null	null	null	null
fırça:0	at:v	null	null	null	null	null
taç:2	at:v	null	null	null	null	null
kuyu:2	at:v	null	null	null	null	null
çekiÇ:0	at:v	null	null	null	null	null
kusur:2	bak:v	2	null	null	null	null
aslı:2	bak:v	1	null	null	null	null
göz:4	bak:v	1	null	null	null	null
ayna:2	bak:v	null	null	null	null	null
fotoğraf:2	bak:v	null	null	null	null	null
yüz:2	bak:v	1	null	null	null	null
taT:2	bak:v	null	null	null	null	null
res$im:2	bak:v	null	null	null	null	null
açı:3	bak:v	1	null	null	null	null
